aqi,co,no2,o3,pm10,pm25,so2,city_name,hour
192,115.1,67.3,29.3,130.4,86.75,34.3,Kolkata,02
204,736.5,55.0,5.4,125.5,96.0,28.0,Kolkata,01
190,1321.2,60.8,12.2,126.0,85.77,28.2,Kolkata,00
189,1482.0,88.0,4.8,144.0,85.0,28.0,Kolkata,23
179,126.2,67.0,14.0,115.0,77.42,30.1,Kolkata,22
177,751.5,52.0,4.0,112.5,75.5,22.5,Kolkata,21
170,25.8,54.8,11.0,156.2,70.38,16.5,Kolkata,20
273,393.0,67.0,7.7,405.0,61.0,21.0,Kolkata,19
190,95.8,63.8,15.5,137.6,85.83,17.8,Kolkata,18
196,1145.0,21.0,5.8,120.0,90.0,18.0,Kolkata,17
197,88.8,106.0,17.1,146.3,90.46,23.3,Kolkata,16
157,786.0,179.0,5.3,142.0,61.0,41.0,Kolkata,15
175,49.2,119.0,13.1,116.0,74.54,28.7,Kolkata,14
169,343.0,54.5,11.1,116.5,69.5,27.0,Kolkata,13
158,53.5,85.5,33.9,94.3,61.69,28.5,Kolkata,12
160,64.7,72.6,39.9,96.0,62.84,28.4,Kolkata,11
157,605.0,54.0,31.1,130.0,61.0,42.0,Kolkata,10
163,87.0,46.9,51.8,99.3,65.14,28.3,Kolkata,09
156,118.0,28.8,70.2,112.6,59.6,31.6,Kolkata,08
175,90.9,61.4,63.6,103.3,73.89,31.7,Kolkata,07
209,1431.3,30.8,42.2,146.5,100.0,27.0,Kolkata,06
193,100.1,62.0,41.0,131.7,87.44,31.1,Kolkata,05
201,69.0,56.2,38.9,139.6,93.85,31.9,Kolkata,04
232,927.0,98.0,9.5,186.0,117.0,83.0,Kolkata,03
209,108.8,65.7,24.8,148.2,99.54,30.2,Kolkata,02
192,1512.0,70.0,4.5,148.0,87.0,25.0,Kolkata,01
197,1497.3,51.8,11.5,120.2,90.69,20.4,Kolkata,00
179,1462.0,70.0,4.4,138.0,77.0,19.0,Kolkata,23
180,113.5,52.4,10.0,117.2,78.0,18.5,Kolkata,22
171,1472.0,78.0,4.5,134.0,71.0,18.0,Kolkata,21
